nome,categoria,prezzo,tacco,taglie,colore,link
Ballerina classica da donna in pelle colore marrone,Ballerine,€149.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-classica-da-donna-in-pelle-colore-marrone
Ballerina classica da donna in pelle scamosciata colore beige,Ballerine,€149.00,1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-classica-da-donna-in-pelle-scamosciata-colore-beige
Ballerina classica da donna in pelle scamosciata colore marrone,Ballerine,€149.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-classica-da-donna-in-pelle-scamosciata-colore-marrone
Ballerine leggere da donna color arancio in pelle liscia,Ballerine,€99.00,1,35 36 37 38 39 40 41,Arancio,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-arancio-in-pelle-liscia
Ballerina a punta da donna in pelle scamosciata colore blu,Ballerine,€159.00,1,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-a-punta-da-donna-in-pelle-scamosciata-colore-blu
Ballerina raffinata da donna in pelle scamosciata colore nero,Ballerine,€159.00,1,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-raffinata-da-donna-in-pelle-scamosciata-colore-nero
Ballerina raffinata da donna in pelle scamosciata colore rosa,Ballerine,€159.00,1,35 36 37 38 39 40 41,Rosa,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-raffinata-da-donna-in-pelle-scamosciata-colore-rosa
Ballerina casual da donna in pelle liscia colore marrone fatta a mano,Ballerine,€139.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-casual-da-donna-in-pelle-liscia-colore-marrone-fatta-a-mano
Ballerina casual da donna in pelle liscia colore nero fatta a mano,Ballerine,€139.00,1,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-casual-da-donna-in-pelle-liscia-colore-nero-fatta-a-mano
Ballerina classica da donna in pelle laminata colore argento,Ballerine,€99.00,1,35 36 37 38 39 40 41,Argento,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-classica-da-donna-in-pelle-laminata-colore-argento
Ballerina classica da donna in pelle laminata colore oro,Ballerine,€99.00,1,35 36 37 38 39 40 41,Oro,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-classica-da-donna-in-pelle-laminata-colore-oro
Ballerina slingback da donna in pelle scamosciata colore nero,Ballerine,€169.00,2,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-slingback-da-donna-in-pelle-scamosciata-colore-nero
Ballerina slingback da donna in pelle scamosciata colore rosa,Ballerine,€169.00,2,35 36 37 38 39 40 41,Rosa,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-slingback-da-donna-in-pelle-scamosciata-colore-rosa
Ballerina Mary Jane da donna in pelle scamosciata con cinturino colore nero,Ballerine,€169.00,1,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-mary-jane-da-donna-in-pelle-scamosciata-con-cinturino-colore-nero
Ballerina Mary Jane da donna in pelle scamosciata con cinturino colore rosa,Ballerine,€169.00,1,35 36 37 38 39 40 41,Rosa,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-raffinata-da-donna-in-pelle-scamosciata-con-cinturino-colore-rosa
Ballerina da donna casual con nappine colore beige,Ballerine,€169.00,1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-da-donna-casual-con-nappine-colore-beige
Ballerina da donna casual con nappine colore nero,Ballerine,€169.00,1,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-da-donna-casual-con-nappine-colore-nero
Ballerina a punta da donna in pelle scamosciata colore marrone,Ballerine,€159.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-a-punta-da-donna-in-pelle-scamosciata-colore-marrone
Ballerine leggere da donna color blu in camoscio sfoderate,Ballerine,€99.00,1,35 36 37 38 39 40 41,Blu Scuro,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-blu-in-camoscio-sfoderate
Ballerine leggere da donna color blu in pelle liscia,Ballerine,€99.00,Senza tacco,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-blu-in-pelle-liscia
Ballerine leggere da donna color taupe in camoscio sfoderate,Ballerine,€99.00,1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-taupe-in-camoscio-sfoderate
Ballerine slip-on a punta da donna fatte a mano in pelle di camoscio turchese,Ballerine,€79.00,1,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-slip-on-a-punta-da-donna-fatte-a-mano-in-pelle-di-camoscio-turchese
Ballerine leggere da donna color beige in pelle liscia,Ballerine,€99.00,1,35 36 37 38 39 40 41 42,Beige,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-beige-in-pelle-liscia
Ballerine leggere da donna color cipria in pelle liscia,Ballerine,€99.00,1,35 36 37 38 39 40 41,Cipria,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-cipria-in-pelle-liscia
Ballerine leggere da donna color blu in pelle liscia sfoderate,Ballerine,€99.00,1,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-blu-in-pelle-liscia-sfoderate
Ballerine leggere da donna color rosa in camoscio sfoderate,Ballerine,€99.00,1,35 36 37 38 39 40 41,Rosa,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-rosa-in-camoscio-sfoderate
Ballerine leggere da donna color marrone in camoscio sfoderate,Ballerine,€99.00,1,35 36 37 38 39 40 41,Marrone Chiaro,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-marrone-in-camoscio-sfoderate
Ballerine leggere da donna color nero in pelle liscia,Ballerine,€99.00,1,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-nero-in-pelle-liscia
Ballerine leggere da donna color giallo in camoscio sfoderate,Ballerine,€99.00,1,35 36 37 38 39 40 41,Giallo,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-giallo-in-camoscio-sfoderate
Ballerine leggere da donna color verde in camoscio sfoderate,Ballerine,€99.00,1,35 36 37 38 39 40 41,Verde,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-verde-lime-in-camoscio-sfoderate
Ballerine leggere da donna color fuxia in camoscio sfoderate,Ballerine,€99.00,1,35 36 37 38 39 40 41,Fuxia,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-fuxia-in-camoscio-sfoderate
Ballerine leggere da donna color mattone in in camoscio sfoderate,Ballerine,€99.00,1,35 36 37 38 39 40 41,Rosso,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-mattone-in-in-camoscio-sfoderate
Ballerine leggere da donna color bianco in pelle liscia,Ballerine,€99.00,1,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-leggere-da-donna-color-bianco-in-pelle-liscia
Scarpe mules con morsetto da donna artigianali in pelle color nero.,Mules,€189.00,1,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-mules/products/scarpe-mules-con-morsetto-da-donna-artigianali-in-pelle-di-vitello-nera
Sabot da donna in pelle scamosciata beige con fibbia oro,Mules,€169.00,1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-mules/products/sabot-da-donna-in-pelle-scamosciata-beige-con-fibbia-oro
Sabot da donna in pelle scamosciata celeste con fibbia oro,Mules,€169.00,1,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-mules/products/sabot-da-donna-in-pelle-scamosciata-celeste-con-fibbia-oro
Sabot da donna in pelle scamosciata marrone chiaro con fibbia oro,Mules,€169.00,1,35 36 37 38 39 40 41,Marrone Chiaro,https://www.leonardoshoes.com/collections/donna-calzature-mules/products/sabot-da-donna-in-pelle-scamosciata-marrone-chiaro-con-fibbia-oro
Sabot color marrone con fibbia dorata e fondo in cuoio,Mules,€189.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mules/products/sabot-color-marrone-con-fibbia-dorata-e-fondo-in-cuoio
Sabot bianca con fibbia dorata e fondo in vero cuoio,Mules,€189.00,2,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-mules/products/sabot-bianca-con-fibbia-dorata-e-fondo-in-vero-cuoio
Sandali Celestia da donna stile romano antico in pelle marrone,Sandali,€99.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-celestia-da-donna-stile-romano-antico-in-pelle-marrone
Sandali Sinfonia da donna stile romano antico in pelle colore nero,Sandali,€99.00,1,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-sinfonia-da-donna-stile-romano-antico-in-pelle-colore-nero
Sandali Sinfonia da donna stile romano antico in pelle marrone,Sandali,€99.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-sinfonia-da-donna-stile-romano-antico-in-pelle-marrone
Sandali donna doppia fibbia in pelle colore nero,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-donna-doppia-fibbia-in-pelle-colore-nero
Sandalo doppia fibbia da donna in pelle scamosciata beige,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-doppia-fibbia-da-donna-in-pelle-scamosciata-beige
Sandalo doppia fibbia da donna in pelle scamosciata celeste,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-doppia-fibbia-da-donna-in-pelle-scamosciata-celeste
Sandali Eclipse da donna stile romano antico in pelle colore nero,Sandali,€99.00,1,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-eclipse-da-donna-stile-romano-antico-in-pelle-colore-nero
Sandalo doppia fibbia da donna in pelle scamosciata verde,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Verde,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-doppia-fibbia-da-donna-in-pelle-scamosciata-verde
Sandalo doppia fascia e fibbia da donna in pelle scamosciata marrone,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-doppia-fascia-e-fibbia-da-donna-in-pelle-scamosciata-marrone
Sandalo doppia fascia e fibbia da donna in pelle scamosciata celeste,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-doppia-fascia-e-fibbia-da-donna-in-pelle-scamosciata-celeste
Sandalo doppia fascia e fibbia da donna in pelle scamosciata beige,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-doppia-fascia-e-fibbia-da-donna-in-pelle-scamosciata-beige
Sandali Nirvana da donna stile romano antico in pelle marrone,Sandali,€99.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-nirvana-da-donna-stile-romano-antico-in-pelle-marrone
Sandalo doppia fascia e fibbia da donna in pelle scamosciata verde,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Verde,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-doppia-fascia-e-fibbia-da-donna-in-pelle-scamosciata-verde
Sandali Nebula da donna stile romano antico in pelle marrone,Sandali,€99.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-nebula-da-donna-stile-romano-antico-in-pelle-marrone
Sandalo doppia fibbia da donna in pelle scamosciata marrone,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-doppia-fibbia-da-donna-in-pelle-scamosciata-marrone
Sandali Solace da donna stile romano antico in pelle marrone,Sandali,€99.00,1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-solace-da-donna-stile-romano-antico-in-pelle-marrone
Sandali Incanto da donna stile romano antico in pelle marrone,Sandali,€99.00,NaN,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-incanto-da-donna-stile-romano-antico-in-pelle-marrone
Sandali donna doppia fibbia in pelle colore bianco,Sandali,€129.00,Senza tacco,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandali-donna-doppia-fibbia-in-pelle-colore-bianco
Stivale al ginocchio da donna liscio con tacco alto in pelle nero,Stivali,€229.00,9,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-al-ginocchio-da-donna-liscio-con-tacco-alto-in-pelle-nero
Stivale al ginocchio da donna liscio con tacco basso in pelle marrone e nero,Stivali,€229.00,3,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-al-ginocchio-da-donna-liscio-con-tacco-basso-in-pelle-marrone-e-nero
Stivale al ginocchio da donna liscio con tacco basso in pelle marrone e marrone scuro,Stivali,€229.00,3,35 36 37 38 39 40 41 42,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-al-ginocchio-da-donna-liscio-con-tacco-basso-in-pelle-marrone-e-marrone-scuro
Stivale al ginocchio da donna liscio con tacco basso in pelle verde e nero,Stivali,€229.00,3,35 36 37 38 39 40 41 42,Verde,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-al-ginocchio-da-donna-liscio-con-tacco-basso-in-pelle-verde-e-nero
Stivale al ginocchio da donna liscio con tacco basso in pelle colore tabacco,Stivali,€229.00,3,35 36 37 38 39 40 41 42,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-al-ginocchio-da-donna-liscio-con-tacco-basso-in-pelle-colore-tabacco
Stivale al ginocchio da donna liscio con tacco basso in pelle colore nero,Stivali,€229.00,3,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-al-ginocchio-da-donna-liscio-con-tacco-basso-in-pelle-colore-nero
Stivale al ginocchio da donna liscio con tacco basso in pelle colore bordeaux,Stivali,€229.00,3,35 36 37 38 39 40 41 42,Bordeaux,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-al-ginocchio-da-donna-liscio-con-tacco-basso-in-pelle-colore-bordeaux
Stivale diver altezza polpaccio da donna con tacco in pelle lavata colore cuoio scuro,Stivali,€299.00,5,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-diver-altezza-polpaccio-da-donna-con-tacco-in-pelle-lavata-colore-cuoio-scuro
Stivale diver altezza polpaccio da donna con tacco in pelle lavata color nero,Stivali,€299.00,5,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-diver-altezza-polpaccio-da-donna-con-tacco-in-pelle-lavata-color-nero
Stivale diver altezza polpaccio da donna con tacco in pelle lavata colore rosso,Stivali,€299.00,5,35 36 37 38 39 40 41,Rosso,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-diver-altezza-polpaccio-da-donna-con-tacco-in-pelle-lavata-colore-rosso
Stivale al ginocchio da donna liscio con tacco medio in pelle marrone,Stivali,€229.00,7,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-al-ginocchio-da-donna-liscio-con-tacco-medio-in-pelle-marrone
Stivali al ginocchio da donna liscio con tacco medio in pelle nero,Stivali,€229.00,7,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-al-ginocchio-da-donna-liscio-con-tacco-medio-in-pelle-nero
Stivali sopra al ginocchio da donna liscio con tacco basso in pelle colore nero,Stivali,€249.00,3,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-sopra-al-ginocchio-da-donna-liscio-con-tacco-basso-in-pelle-colore-nero
Stivale sopra il ginocchio da donna liscio con tacco medio in pelle nero,Stivali,€249.00,6,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-sopra-il-ginocchio-da-donna-liscio-con-tacco-medio-in-pelle-nero
Stivale sopra il ginocchio da donna con tacco alto in pelle colore nero,Stivali,€249.00,9,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-sopra-il-ginocchio-da-donna-con-tacco-alto-in-pelle-colore-nero
Stivale al ginocchio da donna liscio con tacco alto in pelle bordeaux,Stivali,€229.00,9,35 36 37 38 39 40 41 42,Bordeaux,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-al-ginocchio-da-donna-liscio-con-tacco-alto-in-pelle-bordeaux
Stivali texani medi da donna in camoscio blu con ricami.,Stivali,€229.00,6,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-medi-da-donna-in-camoscio-blu-con-ricami
Stivali texani alti da donna fatti a mano in pelle nera con cerniera,Stivali,€269.00,6,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-alti-da-donna-fatti-a-mano-in-pelle-di-vitello-nera-con-cerniera
Stivaletto texano da donna in camoscio color ardesia con ricamo.,Stivali,€229.00,6,35 36 37 38 39 40 41,Cuoio ,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/copia-del-stivaletto-texano-da-donna-in-camoscio-color-cuoio-con-ricamo
Stivali texani medi da donna in pelle colore bianco con ricami.,Stivali,€229.00,6,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-medi-da-donna-in-pelle-colore-bianco-con-ricami
Stivali texani medi da donna in camoscio beige chiaro con ricami.,Stivali,€229.00,6,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-medi-da-donna-in-camoscio-beige-chiaro-con-ricami
Stivaletto texano da donna in camoscio color cioccolato con ricamo,Stivali,€229.00,6,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/texano-da-donna-in-camoscio-color-cioccolato-con-riccamo
Stivali texani medi da donna in pelle colore marrone con ricami.,Stivali,€229.00,6,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-medi-da-donna-in-pelle-colore-marrone-con-ricami
Stivali texani da donna sfoderati in pelle vintage marrone.,Stivali,€229.00,6,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-da-donna-sfoderati-in-pelle-vintage-marrone-con-ricami
Stivali texani da donna sfoderati in pelle vintage nera,Stivali,€229.00,6,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-da-donna-sfoderati-in-pelle-vintage-nera-con-ricami
Stivali alti texani da donna fatti a mano in pelle color cuoio con cerniera,Stivali,€269.00,5,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-alti-texani-da-donna-fatti-a-mano-in-pelle-color-cuoio-con-cerniera
Stivali texani da donna sfoderati in camoscio marrone.,Stivali,€249.00,5,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-da-donna-sfoderati-in-camoscio-marrone-con-ricami
Stivale texano da donna in pelle nera con ricamo,Stivali,€249.00,6,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-texano-da-donna-in-pelle-nera-con-ricamo
Stivale texano da donna in pelle marrone con ricamo,Stivali,€249.00,6,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivale-texano-da-donna-in-pelle-marrone-con-ricamo
Stivale da donna altezza polpaccio in pelle vintage colore cuoio sfoderato,Stivali,€229.00,3,35 36 37 38 39 40 41,Marrone Chiaro,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-da-donna-sfoderati-in-pelle-vintage-marrone-chiaro-con-ricami
Stivale da donna altezza polpaccio in pelle vintage colore nero sfoderato,Stivali,€229.00,3,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-da-donna-sfoderati-in-pelle-vintage-nero-con-ricami
Stivale da donna altezza polpaccio in pelle vintage colore marrone scuro sfoderato,Stivali,€229.00,3,35 36 37 38 39 40 41,Marrone Scuro,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-da-donna-sfoderati-in-pelle-vintage-marrone-scuro
Stivale da donna altezza polpaccio in pelle vintage colore beige sfoderato,Stivali,€229.00,3,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-da-donna-sfoderati-in-pelle-vintage-taupe-con-ricami
Stivali al ginocchio a punta con tacco a spillo da donna fatti a mano in pelle di camoscio bordeaux,Stivali,€329.00,12,35 36 37 38 39 40 41 42,Bordeaux,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-al-ginocchio-a-punta-con-tacco-a-spillo-da-donna-fatti-a-mano-in-pelle-di-camoscio-bordeaux
Stivaletti texani da donna fatti a mano in pelle di camoscio cuoio con cerniera,Stivali,€124.50,6,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivaletti-texani-da-donna-fatti-a-mano-in-pelle-di-camoscio-cuoio-con-cerniera
Stivali texani medi da donna in camoscio marrone  con ricami.,Stivali,€229.00,6,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-medi-da-donna-in-camoscio-marrone-con-ricami
Stivali texani da donna sfoderati in camoscio tortora,Stivali,€249.00,5,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-stivali/products/stivali-texani-da-donna-sfoderati-in-camoscio-tortora
Stivaletto da donna chelsea con dettagli brogue in pelle marrone chiaro,Stivaletti,249,3,35 36 37 38 39 40 41,Marrone ,https://www.leonardoshoes.comStivaletti/products/stivaletto-da-donna-chelsea-con-dettagli-brogue-in-pelle-marrone-chiaro
Stivaletto da donna liscio con tacco basso in pelle liscia colore nero con fibbia laterale,Stivaletti,209,2,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.comStivaletti/products/stivaletto-da-donna-liscio-con-tacco-basso-in-pelle-liscia-colore-nero-con-fibbia-laterale
Stivaletto da donna con tacco medio in pelle intrecciata colore nero,Stivaletti,299,4,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.comStivaletti/products/stivaletto-da-donna-con-tacco-medio-in-pelle-intrecciata-colore-nero
Stivaletto da donna con tacco medio in pelle intrecciata colore marrone chiaro,Stivaletti,299,4,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.comStivaletti/products/stivaletto-da-donna-con-tacco-medio-in-pelle-intrecciata-colore-marrone-chiaro
Stivaletto da donna in pelle intrecciata con tacco medio colore rosso,Stivaletti,299,4,35 36 37 38 39 40 41,Rosso,https://www.leonardoshoes.comStivaletti/products/stivaletto-da-donna-in-pelle-intrecciata-con-tacco-medio-colore-rosso
Stivaletto da donna liscio con tacco medio in pelle colore nero,Stivaletti,249,4,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.comStivaletti/products/stivaletto-da-donna-liscio-con-tacco-medio-in-pelle-liscia-colore-nero
